종목코드,종목명,분기,발표일,정보출처,유형,포함버전,상장직후,거래일t0,모델,추정관측수,alpha,beta_시장,beta_섹터,R2,CAR_0_1,CAR_0_5,CAR_0_20,CAR_PRE,이벤트키,사유
092730,네오팜,2025Q1,2025-05-09,잠정실적,브랜드,v1,False,2025-05-09,2팩터시장모델,220,0.0007654501251878861,0.5605893497750619,0.2632324271184622,0.2129949493320854,-0.010698524814122,-0.061131957037998286,-0.006442079969620689,0.021222939169709874,092730_2025Q1,
092730,네오팜,2025Q2,2025-08-01,잠정실적,브랜드,v1,False,2025-08-01,2팩터시장모델,220,0.0006528738449014259,0.5546601678317806,0.3753934954939866,0.2763889107802282,-0.013808590694383713,-0.00475746189268998,0.028259621997932388,0.25438340314275326,092730_2025Q2,
092730,네오팜,2025Q3,2025-11-07,잠정실적,브랜드,v1,False,2025-11-07,2팩터시장모델,220,0.0011538200706927568,0.6219212200020269,0.4945235984547397,0.23455594419378434,0.07026562330364536,0.12865104308797784,0.17111979593240653,0.003075671333939838,092730_2025Q3,
092730,네오팜,2025Q4,2026-01-27,잠정실적,브랜드,v1,False,2026-01-27,2팩터시장모델,220,0.0023249484742498693,0.5240051114078389,0.5936889216557169,0.2342514557346439,-0.0313204882264017,0.007223848016746054,-0.05369343953150095,-0.131828055492118,092730_2025Q4,
092730,네오팜,2026Q1,2026-05-08,잠정실적,브랜드,v1,False,2026-05-08,2팩터시장모델,220,0.0007182466838190527,0.4170748519164426,0.6650223575224647,0.2711399749176222,-0.05462280031873456,-0.06706970541130468,-0.08234003976827375,0.07264697778880375,092730_2026Q1,
092730,네오팜,2026Q2,2026-08-07,잠정실적,브랜드,v1,False,2026-08-07,2팩터시장모델,220,-0.00044491100557975767,0.43290408897671884,0.6283874220313117,0.32203691888441077,0.1129376549539969,0.05597505867688111,,0.038819403790967405,092730_2026Q2,
114840,아이패밀리에스씨,2022Q3,2022-11-14,정기보고서,유통,v1,False,2022-11-14,2팩터시장모델,220,0.003013526756087874,1.1998076454218018,0.7902919064127399,0.33025054639037954,0.010776354447636818,-0.027446900784071346,0.04665497317709023,-0.24423220760233522,114840_2022Q3,
114840,아이패밀리에스씨,2022Q4,2023-02-16,잠정실적,유통,v1,False,2023-02-16,2팩터시장모델,220,0.003032828071116013,1.231385469655675,0.8283371438739906,0.3714465985029852,-0.1296662981149236,-0.07333078009724814,-0.07133480601859757,-0.09834117848500734,114840_2022Q4,
114840,아이패밀리에스씨,2023Q1,2023-05-15,정기보고서,유통,v1,False,2023-05-15,2팩터시장모델,220,0.0014375277881912545,1.093209099954922,0.6689991802044537,0.33449639987984403,-0.03896460901521135,-0.1312651299689099,-0.021175163098041242,0.06525478667573036,114840_2023Q1,
114840,아이패밀리에스씨,2023Q2,2023-08-14,정기보고서,유통,v1,False,2023-08-14,2팩터시장모델,220,0.0034737908531484564,0.9560223808089057,0.98685363451197,0.32966233117670585,0.04297858425116613,0.1467270901049939,0.07256945000701442,-0.15713357020502156,114840_2023Q2,
