종목코드,종목명,유형,포함버전,corp_code,공시유형,접수일자,접수번호,제출인,공시명,정정여부,구분,대상연도,대상분기
114840,아이패밀리에스씨,유통,v1,00692254,정기공시,20251114,20251114000329,아이패밀리에스씨,분기보고서 (2025.09),False,정기보고서,2025.0,3.0
114840,아이패밀리에스씨,유통,v1,00692254,정기공시,20260319,20260319000741,아이패밀리에스씨,사업보고서 (2025.12),False,정기보고서,2025.0,4.0
114840,아이패밀리에스씨,유통,v1,00692254,정기공시,20260320,20260320000432,아이패밀리에스씨,[기재정정]사업보고서 (2025.12),True,정기보고서,2025.0,4.0
114840,아이패밀리에스씨,유통,v1,00692254,정기공시,20260515,20260515000627,아이패밀리에스씨,분기보고서 (2026.03),False,정기보고서,2026.0,1.0
114840,아이패밀리에스씨,유통,v1,00692254,정기공시,20260813,20260813000938,아이패밀리에스씨,반기보고서 (2026.06),False,정기보고서,2026.0,2.0
161890,한국콜마,ODM,v1,00939331,거래소공시,20221111,20221111800136,한국콜마,영업(잠정)실적(공정공시),False,잠정실적,2022.0,3.0
161890,한국콜마,ODM,v1,00939331,거래소공시,20221111,20221111800128,한국콜마,연결재무제표기준영업(잠정)실적(공정공시),False,잠정실적,2022.0,3.0
161890,한국콜마,ODM,v1,00939331,정기공시,20221114,20221114002701,한국콜마,분기보고서 (2022.09),False,정기보고서,2022.0,3.0
161890,한국콜마,ODM,v1,00939331,거래소공시,20230227,20230227800260,한국콜마,영업(잠정)실적(공정공시),False,잠정실적,2022.0,4.0
161890,한국콜마,ODM,v1,00939331,거래소공시,20230227,20230227800256,한국콜마,연결재무제표기준영업(잠정)실적(공정공시),False,잠정실적,2022.0,4.0
161890,한국콜마,ODM,v1,00939331,정기공시,20230321,20230321001296,한국콜마,사업보고서 (2022.12),False,정기보고서,2022.0,4.0
161890,한국콜마,ODM,v1,00939331,정기공시,20230322,20230322001251,한국콜마,[기재정정]사업보고서 (2022.12),True,정기보고서,2022.0,4.0
161890,한국콜마,ODM,v1,00939331,정기공시,20230512,20230512001394,한국콜마,분기보고서 (2023.03),False,정기보고서,2023.0,1.0
161890,한국콜마,ODM,v1,00939331,거래소공시,20230512,20230512800115,한국콜마,영업(잠정)실적(공정공시),False,잠정실적,2023.0,1.0
161890,한국콜마,ODM,v1,00939331,거래소공시,20230512,20230512800082,한국콜마,연결재무제표기준영업(잠정)실적(공정공시),False,잠정실적,2023.0,1.0
