종목코드,종목명,분기,발표일,정보출처,유형,포함버전,상장직후,거래일t0,모델,추정관측수,alpha,beta_시장,beta_섹터,R2,CAR_0_1,CAR_0_5,CAR_0_20,CAR_PRE,이벤트키,사유,매출액,영업이익,OPM,자산총계,매출YoY,OPM변화,추세이탈도,흑자전환,적자전환,적자지속,로그자산,기준,산출방식,잠정실적더미,분석표본
161890,한국콜마,2022Q4,2023-02-27,잠정실적,ODM,v1,False,2023-02-27,2팩터시장모델,220,0.0006270558931443,1.122647217980404,0.8954102690653939,0.5799470820415062,-0.0367979342144278,-0.0366130893421107,-0.0189765797546264,-0.0541730087393718,161890_2022Q4,,479065009149.0,8636620605.0,0.0180280764406941,2933309479342.0,0.19083083732929051,-0.04640167226502831,-0.027801287769187926,0,0,0,28.707152416669032,연결,역산,1,True
161890,한국콜마,2023Q1,2023-05-12,잠정실적,ODM,v1,False,2023-05-12,2팩터시장모델,220,0.0004112679141313,1.0332082824667574,0.8304697049101027,0.5508476887338455,-0.1053757917613477,-0.1138882915326726,-0.1102055895443813,-0.1296506243517811,161890_2023Q1,,487660961331.0,12058574023.0,0.0247273720457095,2993128309822.0,0.18813281633505735,-0.006721404908633998,0.0016994261458576799,0,0,0,28.727340213850816,연결,직접,1,True
161890,한국콜마,2023Q2,2023-08-11,잠정실적,ODM,v1,False,2023-08-11,2팩터시장모델,220,0.0007239646313874,1.01073037844217,0.709226109438769,0.5047408855771958,0.0593686360351199,0.0683192001633982,-0.043556536930708,0.0744724128294395,161890_2023Q2,,599737686970.0,55672431124.0,0.0928279685161503,3039925026335.0,0.1930222036678881,0.025906886741735802,0.09356809498751252,0,0,0,28.742853968652753,연결,직접,1,True
161890,한국콜마,2023Q3,2023-11-10,잠정실적,ODM,v1,False,2023-11-10,2팩터시장모델,220,0.0016144591719438,0.6252414374702248,0.6719853258481493,0.3915971331517742,-0.1246274391059717,-0.1647521120932776,0.0109287748864374,0.1071681451445877,161890_2023Q3,,516384773087.0,31034500807.0,0.0600995661074059,3046070359536.0,0.09052637805172302,0.021887032914821795,-0.041868082634879455,0,0,0,28.74487346912883,연결,직접,1,True
161890,한국콜마,2023Q4,2024-02-08,잠정실적,ODM,v1,False,2024-02-08,2팩터시장모델,220,0.0009920521225455,0.3109112463318074,0.6597405597581538,0.310483865043023,0.0018456839238279,-8.147135396876018e-05,-0.0457216890002498,-0.0804015865857631,161890_2023Q4,,551892506034.0,37377834038.0,0.0677266562407305,3009429377714.0,0.152020071376887,0.049698579800036405,-0.031119415177277183,0,0,0,28.732771601207325,연결,역산,1,True
161890,한국콜마,2024Q1,2024-05-10,잠정실적,ODM,v1,False,2024-05-10,2팩터시장모델,220,0.0007805375637332,0.1075346974610473,0.5754000122578218,0.2626750766988086,0.0343489966753654,0.0058111639500326,0.0748315099213311,-0.1193531527281363,161890_2024Q1,,574789537510.0,32429767326.0,0.0564202463852881,3025218961237.0,0.17866629295319264,0.0316928743395786,-0.02511533206839007,0,0,0,28.738004588671767,연결,직접,1,True
161890,한국콜마,2024Q2,2024-08-09,잠정실적,ODM,v1,False,2024-08-09,2팩터시장모델,220,0.0021264569435261,0.1238733437235064,0.7052039155899583,0.3562377229844662,0.0913912082111289,0.0742387606309457,0.192274496469923,0.0682765910495682,161890_2024Q2,,660271275247.0,71741069792.0,0.1086539313180972,3151388113858.0,0.10093344072277385,0.015825962801946897,0.07339195695113677,0,0,0,28.778864142765144,연결,직접,1,True
161890,한국콜마,2024Q3,2024-11-08,잠정실적,ODM,v1,False,2024-11-08,2팩터시장모델,220,0.001489870352202,0.5197473923084103,0.7902839644698897,0.4143252002163593,-0.0700280728712276,-0.0740930828161989,-0.1153829326414298,-0.0146966906311456,161890_2024Q3,,626505190045.0,54539639175.0,0.0870537707294692,3066303197521.0,0.21325264162939797,0.0269542046220633,-0.028569697683133922,0,0,0,28.75149378174358,연결,직접,1,True
161890,한국콜마,2024Q4,2025-02-11,잠정실적,ODM,v1,False,2025-02-11,2팩터시장모델,220,0.0005821337932493,0.7698153102763291,0.7607972105146612,0.4811502808481724,-0.0108051260496998,-0.0691024512880887,0.0647775732960518,0.0581061570199048,161890_2024Q4,,590497977661.0,35139948055.0,0.0595090066086112,3126693019808.0,0.06995107055253558,-0.008217649632119302,-0.06194993104278001,0,0,0,28.770997018753075,연결,역산,1,True
161890,한국콜마,2025Q1,2025-05-09,잠정실적,ODM,v1,False,2025-05-09,2팩터시장모델,220,0.0017364933181576,0.8453593718090624,0.7791269851262504,0.4826356208025212,0.0423314538355508,0.0585695227421239,0.0021776565982595,0.0211383904731128,161890_2025Q1,,653085689014.0,59939938284.0,0.0917795923142867,3314646803278.0,0.1362170784165288,0.0353593459289986,0.021046325980977602,0,0,0,28.829372188875872,연결,직접,1,True
