일자,종가,거래량,종목코드,종목명,수익률
2022-09-26,109000,270282,090430,아모레퍼시픽,-0.013574660633484115
2022-09-27,111500,227159,090430,아모레퍼시픽,0.022935779816513735
2022-09-28,108000,250861,090430,아모레퍼시픽,-0.03139013452914796
2022-09-29,105500,235745,090430,아모레퍼시픽,-0.02314814814814814
2022-09-30,102000,248288,090430,아모레퍼시픽,-0.033175355450236976
2022-10-04,103000,238734,090430,아모레퍼시픽,0.009803921568627416
2022-10-05,104000,231964,090430,아모레퍼시픽,0.009708737864077666
2022-10-06,106000,212258,090430,아모레퍼시픽,0.019230769230769162
2022-10-07,105500,157658,090430,아모레퍼시픽,-0.004716981132075526
2022-10-11,98300,363562,090430,아모레퍼시픽,-0.06824644549763037
2022-10-12,99600,249624,090430,아모레퍼시픽,0.01322482197355046
2022-10-13,94900,301159,090430,아모레퍼시픽,-0.04718875502008035
2022-10-14,97500,333233,090430,아모레퍼시픽,0.027397260273972712
2022-10-17,96900,294168,090430,아모레퍼시픽,-0.006153846153846176
2022-10-18,98100,184168,090430,아모레퍼시픽,0.01238390092879249
2022-10-19,98100,147861,090430,아모레퍼시픽,0.0
2022-10-20,98400,205020,090430,아모레퍼시픽,0.003058103975535076
2022-10-21,99100,147794,090430,아모레퍼시픽,0.007113821138211351
2022-10-24,98300,196770,090430,아모레퍼시픽,-0.008072653884964698
2022-10-25,96600,155149,090430,아모레퍼시픽,-0.017293997965411978
2022-10-26,89700,697499,090430,아모레퍼시픽,-0.0714285714285714
2022-10-27,92700,264900,090430,아모레퍼시픽,0.03344481605351168
2022-10-28,91500,637245,090430,아모레퍼시픽,-0.012944983818770184
2022-10-31,92700,362466,090430,아모레퍼시픽,0.013114754098360715
2022-11-01,96700,704170,090430,아모레퍼시픽,0.0431499460625675
2022-11-02,102500,502238,090430,아모레퍼시픽,0.05997931747673224
2022-11-03,97100,473530,090430,아모레퍼시픽,-0.05268292682926834
2022-11-04,109500,796236,090430,아모레퍼시픽,0.12770339855818746
2022-11-07,106000,600541,090430,아모레퍼시픽,-0.03196347031963476
2022-11-08,112000,741454,090430,아모레퍼시픽,0.05660377358490565
2022-11-09,112500,398351,090430,아모레퍼시픽,0.0044642857142858094
2022-11-10,111500,325728,090430,아모레퍼시픽,-0.008888888888888835
2022-11-11,121500,565486,090430,아모레퍼시픽,0.08968609865470856
2022-11-14,121000,830219,090430,아모레퍼시픽,-0.004115226337448541
2022-11-15,127000,400342,090430,아모레퍼시픽,0.04958677685950419
2022-11-16,122500,316358,090430,아모레퍼시픽,-0.03543307086614178
2022-11-17,120500,311723,090430,아모레퍼시픽,-0.01632653061224487
2022-11-18,118500,350642,090430,아모레퍼시픽,-0.016597510373444035
2022-11-21,115500,433064,090430,아모레퍼시픽,-0.025316455696202556
2022-11-22,115500,288388,090430,아모레퍼시픽,0.0
2022-11-23,117500,577120,090430,아모레퍼시픽,0.017316017316017396
2022-11-24,120500,256696,090430,아모레퍼시픽,0.025531914893617058
2022-11-25,122000,281130,090430,아모레퍼시픽,0.012448132780082943
2022-11-28,124500,412349,090430,아모레퍼시픽,0.020491803278688492
2022-11-29,130000,502185,090430,아모레퍼시픽,0.04417670682730934
2022-11-30,130500,443014,090430,아모레퍼시픽,0.0038461538461538325
2022-12-01,128000,451577,090430,아모레퍼시픽,-0.019157088122605415
2022-12-02,131500,400103,090430,아모레퍼시픽,0.02734375
2022-12-05,139500,620271,090430,아모레퍼시픽,0.06083650190114076
2022-12-06,135000,268821,090430,아모레퍼시픽,-0.032258064516129004
2022-12-07,135000,372728,090430,아모레퍼시픽,0.0
2022-12-08,135500,517388,090430,아모레퍼시픽,0.0037037037037037646
2022-12-09,139500,360094,090430,아모레퍼시픽,0.029520295202952074
2022-12-12,132000,399222,090430,아모레퍼시픽,-0.053763440860215006
2022-12-13,134500,129056,090430,아모레퍼시픽,0.018939393939394034
2022-12-14,133500,250106,090430,아모레퍼시픽,-0.0074349442379182396
2022-12-15,130500,183239,090430,아모레퍼시픽,-0.022471910112359605
2022-12-16,132500,210907,090430,아모레퍼시픽,0.015325670498084198
2022-12-19,132000,185673,090430,아모레퍼시픽,-0.0037735849056603765
2022-12-20,133000,177274,090430,아모레퍼시픽,0.007575757575757569
2022-12-21,132500,136109,090430,아모레퍼시픽,-0.003759398496240629
2022-12-22,135000,175215,090430,아모레퍼시픽,0.018867924528301883
2022-12-23,133500,162555,090430,아모레퍼시픽,-0.011111111111111072
2022-12-26,133000,177215,090430,아모레퍼시픽,-0.0037453183520599342
2022-12-27,141500,435891,090430,아모레퍼시픽,0.06390977443609014
2022-12-28,141000,283883,090430,아모레퍼시픽,-0.0035335689045936647
2022-12-29,137500,232848,090430,아모레퍼시픽,-0.024822695035460973
2023-01-02,135000,297502,090430,아모레퍼시픽,-0.018181818181818188
